name,price,piecesPerCarton,colorCode,lowStockThreshold,totalCartons,totalPieces,hasVariants,variantName,variantCartons,variantPieces
Lush Wow Braid,3900,25,,5,,,true,color 33,1,25
Lush Wow Braid,3900,25,RED,5,,,true,color 35,1,25
Lush Jumbo,5500,30,,5,,,true,Color 1,5,150
Lush Jumbo,5500,30,,5,,,true,Gold,3,90
Lush Lasgidi,2100,30,,5,3,90,false,,,
Lush Mega,5300,20,,5,3,60,false,,,
Lush Ready,2600,30,,5,3,90,false,,,
Lush Supreme,6100,15,,5,3,45,false,,,
Lush Curly,7200,20,,5,3,60,false,,,
Lush Dancing Curl,4400,20,,5,3,60,false,,,
Lush Kinky Twist,3200,20,,5,3,60,false,,,
Lush Kinky Twist Bulk,3500,15,,5,3,45,false,,,
Lush Mol-T,1800,54,,5,3,162,false,,,
Lush Passion Twist,6400,20,,5,3,60,false,,,
Lush Reinah,8000,16,,5,3,48,false,,,
Lush Roni Curl,6300,16,,5,3,48,false,,,
Lush  Sasha Locs,7800,15,,5,3,45,false,,,
Lush Seren Locs,5000,18,,5,3,54,false,,,
Lush Curly Short,8000,20,,5,3,60,false,,,
Lush Bohemian Curl,5600,25,,5,3,75,false,,,
Lush Bouncy Wave,2900,40,,5,3,120,false,,,
Lush Diana Curl,2700,20,,5,3,60,false,,,
Lush Pixie Curl,3000,40,,5,3,120,false,,,
Lush Kinky Twist Long,4000,15,,5,3,45,false,,,
Rich Braid,3900,25,,5,3,75,false,,,
Super Braid,5500,15,,5,3,45,false,,,
Ultra Braid,2850,70,,5,3,210,false,,,
Naomi Biggie,3150,40,,5,3,120,false,,,
2x Pre-Stretched Braid 50,2250,60,,5,3,180,false,,,
3x Pre-Stretched Braid 50,3400,40,,5,3,120,false,,,
7x Pre-Stretched Braid 52,3450,20,,5,3,60,false,,,
7x Pre-Stretched Braid 64,6400,20,,5,3,60,false,,,
Lagos Mega Braid 60,5300,20,,5,3,60,false,,,
Agege Braid,2100,30,,5,3,90,false,,,
Lagos Braid,2350,30,,5,3,90,false,,,
Naomi Double,2550,20,,5,3,60,false,,,
8X Curly Braid,6650,20,,5,3,60,false,,,
Bouncy Kinky,4350,20,,5,3,60,false,,,
Boho Water Curl,4150,20,,5,3,60,false,,,
Curly,2950,60,,5,3,180,false,,,
Ceres,3200,30,,5,3,90,false,,,
Ceres Extra,4000,20,,5,3,60,false,,,
X-Passion Twist,6400,20,,5,3,60,false,,,
Multi,1800,20,,5,3,60,false,,,
4 Flowers,3150,30,,5,3,90,false,,,
Active,4750,20,,5,3,60,false,,,
Bounce,3350,30,,5,3,90,false,,,
Daniela,3150,30,,5,3,90,false,,,
Diva,2950,30,,5,3,90,false,,,
Funky,2950,30,,5,3,90,false,,,
Forever,2900,30,,5,3,90,false,,,
Super Mireille,3400,25,,5,3,75,false,,,
Natural,3300,25,,5,3,75,false,,,
Curly Piece,1200,60,,5,3,180,false,,,
Mega growth relax,1200,12,,5,1,12,false,,,
Karen Paris,1800,48,,5,1,48,false,,,
Diy Wig cap,1,12,,5,1,12,false,,,
Wig cap,1,10,,5,1,10,false,,,
Viola,1,10,,5,1,10,false,,,
Series activator (small),800,12,,5,1,12,false,,,
Eco gel (medium),4000,12,,5,1,12,false,,,
Above oil sheen (Big),3500,12,,5,1,12,false,,,
Mouldin gel wax,3000,6,,5,1,6,false,,,
De simple sea salt,750,12,,5,1,12,false,,,
Elan shampoo,1,10,,5,1,10,false,,,
Elan conditioner,1,10,,5,1,10,false,,,
Lush relax,1,10,,5,1,10,false,,,
Lush detangling conditioner,1,10,,5,1,10,false,,,
Lush leave in treatment,1,10,,5,1,10,false,,,
Olive oil no lye hair relaxer,1,10,,5,1,10,false,,,
Mega growth kids relaxer,1,10,,5,1,10,false,,,
Butterfly shadow (Big),1,10,,5,1,10,false,,,
Butterfly shadow (small),1,10,,5,1,10,false,,,
Brazilian wool,1,10,,5,1,10,false,,,
White tint (Big),4000,3,,5,1,3,false,,,
Olive oil bleaching powder,1,10,,5,1,10,false,,,
Overa edge control,3000,10,,5,1,10,false,,,
Miracle Lock & twist,2000,8,,5,1,8,false,,,
Shower cap,300,36,,5,1,36,false,,,
Yizid wax & mud,1,10,,5,1,10,false,,,
Damatol,1,10,,5,1,10,false,,,
Above spiritz holding spray,1,10,,5,1,10,false,,,
Hair booster serum,1,10,,5,1,10,false,,,
Tigi bed head,1,10,,5,1,10,false,,,
Keratin intensive color powder,1,10,,5,1,10,false,,,
Dara hair conditioner,1,10,,5,1,10,false,,,
Viola anti dandruff shampoo,1,10,,5,1,10,false,,,
Viola anti dandruff conditioner,1,10,,5,1,10,false,,,
Viola exotic hair treatment oil,1,10,,5,1,10,false,,,
Tressa Supershine,3790,25,,5,1,25,false,,,
Tressa Fast Braid,5100,25,,5,,,true,color 350,2,50
Tressa Fast Braid,5100,25,,5,,,true,color 1,2,50
Tressa Tasty Braid,2350,25,,5,,,true,color 350,2,50
Tressa Tasty Braid,2350,25,,5,,,true,color 1,2,50
Tressa Tasty Braid,2350,25,,5,,,true,color 33,2,50
Above mousse (Big),3500,12,,5,1,12,false,,,
Abovee oilsheen (small),1800,12,,5,1,12,false,,,
Above mousse (small),1800,12,,5,1,12,false,,,
series activator (medium),1600,12,,5,1,12,false,,,
Eco gel (small),2500,12,,5,1,12,false,,,
Developer (Big),2500,6,,5,1,6,false,,,
Adove dye tint,7000,4,,5,1,4,false,,,
4 C edge control,2500,12,,5,1,12,false,,,
Cutting comb,100,180,,5,1,180,false,,,
Afro chic cream (medium),2000,6,,5,1,6,false,,,
Children butterfly clip,2500,12,,5,1,12,false,,,
Kaima wax,1000,72,,5,1,72,false,,,
Children clip cup,1000,6,,5,1,6,false,,,
Coweries gold & sliver,4000,7,,5,1,7,false,,,
12 in 1 oil,1,5,,5,1,5,false,,,
Topklass Conditioner (Big),1,5,,5,1,5,false,,,
Topklass Conditioner (medium),1,5,,5,1,5,false,,,
Topklass  Conditioner (small),1,5,,5,1,5,false,,,
Topklass Shampoo (Big),1,5,,5,1,5,false,,,
Topklass Shampoo (medium),1,5,,5,1,5,false,,,
Topklass Shampoo (small),1,5,,5,1,5,false,,,
Topklass Pink oil (Big),1,5,,5,1,5,false,,,
Topklass Pink oil (small),1,5,,5,1,5,false,,,
Topklass Pink oil (medium),1,5,,5,1,5,false,,,
Topklass Blue treatment,1,5,,5,1,5,false,,,
Topklass Lie treatment,1,5,,5,1,5,false,,,
Topklass Styling gel (Big),1,5,,5,1,5,false,,,
Topklass Styling gel (medium),1,5,,5,1,5,false,,,
Topklass Styling gel (small),1,5,,5,1,5,false,,,
Topklass Hair cream (Big),1,5,,5,1,5,false,,,
Topklass Hair cream (small),1,5,,5,1,5,false,,,
Topklass Hair cream(medium),1,5,,5,1,5,false,,,
Topklass Weavon gloss,1,5,,5,1,5,false,,,
Topklass Viola shamp(Big),1,5,,5,1,5,false,,,
Topklass Viola shamp(small),1,5,,5,1,5,false,,,
Topklass 911 treatment (Big),1,5,,5,1,5,false,,,
Darling super star,3900,25,,5,1,25,false,,,
Darling super soft,5460,25,,5,1,25,false,,,
Darling easy braid 7X,5250,15,,5,1,15,false,,,
Amigos beauty braid,840,15,,5,1,15,false,,,
Darling duchess braid,3900,15,,5,1,15,false,,,
Darling duches braid Pre-stretched,7350,15,,5,1,15,false,,,
Darling mega braid,2050,15,,5,1,15,false,,,
Amigos max braid 7X,4730,15,,5,1,15,false,,,
Amigos princess braid,1580,15,,5,1,15,false,,,
Darling princess braid,1160,15,,5,1,15,false,,,
Darling natural braid,3200,15,,5,1,15,false,,,
Empress curly braid,7200,15,,5,1,15,false,,,
Darling natural tiwst long,3900,15,,5,1,15,false,,,
Darling passion twist,4000,15,,5,1,15,false,,,
Amigos kinky,2900,15,,5,1,15,false,,,
Amigos dancing curl,4400,15,,5,1,15,false,,,
Darling kinky bulk,3500,15,,5,1,15,false,,,
Darling bohemian passion twist,6300,15,,5,1,15,false,,,
Darling passion twist 2X,6400,15,,5,1,15,false,,,
Empress loose braid,7350,15,,5,1,15,false,,,
Darling zoey,1800,15,,5,1,15,false,,,
Darling wet wave,5800,15,,5,1,15,false,,,
Darling yaki curl,3990,15,,5,1,15,false,,,
Darling mangolian kinky,5200,15,,5,1,15,false,,,
Darling kinky straight hair,3150,15,,5,1,15,false,,,
Empress silky straight 18/20 inches + closure,10500,15,,5,1,15,false,,,
Empress silky straight 18/20 inches,8050,15,,5,1,15,false,,,
Amigos razor cut,2630,15,,5,1,15,false,,,
Amigos short bob,4200,15,,5,1,15,false,,,
Darling afro puff pony,3890,15,,5,1,15,false,,,
Kinky straight wrap pony,4310,15,,5,1,15,false,,,
Darling bulk,2790,15,,5,1,15,false,,,
Darling yaki daniella,3150,15,,5,1,15,false,,,
Amigos super wave,1580,15,,5,1,15,false,,,
Darling natural twist,3050,24,,5,,,true,color 1,2,48
Darling easy vibes,3000,30,,5,,,true,color 33,2,60
Darling easy vibes,3000,30,,5,,,true,color 1,2,60
Darling easy vibes,3000,30,,5,,,true,color 30,2,60
Darling easy vibes,3000,30,,5,,,true,BG,2,60
