name,price,piecesPerCarton,colorCode,lowStockThreshold,totalCartons,hasVariants,variantName,variantCartons,totalPieces
Lush Wow Braid,3900,25,,,0,TRUE,color 33,1,
Lush Wow Braid,3900,25,,,0,TRUE,color 35,1,
Lush Jumbo,800,30,,5,0,TRUE,Color 1,5,
Lush Jumbo,800,30,,5,0,TRUE,Gold,3,
Lush Lasgidi,2100,30,,,3,,,,,
Lush Mega,5300,20,,,3,,,,,
Lush Ready,2600,30,,,3,,,,,
Lush Supreme,6100,15,,,3,,,,,
Lush Curly,7200,20,,,3,,,,,
Lush Dancing Curl,4400,20,,,3,,,,,
Lush Kinky Twist,3200,20,,,3,,,,,
Lush Kinky Twist Bulk,3500,15,,,3,,,,,
Lush Mol-T,1800,54,,,3,,,,,
Lush Passion Twist,6400,20,,,3,,,,,
Lush Reinah,8000,16,,,3,,,,,
Lush Roni Curl,6300,16,,,3,,,,,
Lush Sasha Locs,7800,15,,,3,,,,,
Lush Seren Locs,5000,18,,,3,,,,,
Lush Curly Short,8000,20,,,3,,,,,
Lush Bohemian Curl,5600,25,,,3,,,,,
Lush Bouncy Wave,2900,40,,,3,,,,,
Lush Diana Curl,2700,20,,,3,,,,,
Lush Pixie Curl,3000,40,,,3,,,,,
Lush Kinky Twist Long,4000,15,,,3,,,,,
Rich Braid,3900,25,,,3,,,,,
Super Braid,5500,15,,,3,,,,,
Ultra Braid,2850,70,,,3,,,,,
Naomi Biggie,3150,40,,,3,,,,,
2x Pre-Stretched Braid 50,2250,60,,,3,,,,,
3x Pre-Stretched Braid 50,3400,40,,,3,,,,,
7x Pre-Stretched Braid 52,3450,20,,,3,,,,,
7x Pre-Stretched Braid 64,6400,20,,,3,,,,,
Lagos Mega Braid 60,5300,20,,,3,,,,,
Agege Braid,2100,30,,,3,,,,,
Lagos Braid,2350,30,,,3,,,,,
Naomi Double,2550,20,,,3,,,,,
8X Curly Braid,6650,20,,,3,,,,,
Bouncy Kinky,4350,20,,,3,,,,,
Boho Water Curl,4150,20,,,3,,,,,
Curly,2950,60,,,3,,,,,
Ceres,3200,30,,,3,,,,,
Ceres Extra,4000,20,,,3,,,,,
X-Passion Twist,6400,20,,,3,,,,,
Multi,1800,20,,,3,,,,,
4 Flowers,3150,30,,,3,,,,,
Active,4750,20,,,3,,,,,
Bounce,3350,30,,,3,,,,,
Daniela,3150,30,,,3,,,,,
Diva,2950,30,,,3,,,,,
Funky,2950,30,,,3,,,,,
Forever,2900,30,,,3,,,,,
Super Mireille,3400,25,,,3,,,,,
Natural,3300,25,,,3,,,,,
Curly Piece,1200,60,,,3,,,,,
